Date/Time,Mean Temp (C),Mean Temp (F)
2024-01-01,-2.6,27.32
2024-01-02,-1,30.2
2024-01-03,1,33.8
2024-01-04,-2.7,27.14
2024-01-05,-1.8,28.76
2024-01-06,-1.3,29.66
2024-01-07,-2.7,27.14
2024-01-08,1.3,34.34
2024-01-09,3.4,38.12
2024-01-10,3,37.4
2024-01-11,1,33.8
2024-01-12,1.8,35.24
2024-01-13,0.6,33.08
2024-01-14,-8,17.6
2024-01-15,-11,12.2
2024-01-16,-9.7,14.54
2024-01-17,-12,10.4
2024-01-18,-6.2,20.84
2024-01-19,-11,12.2
2024-01-20,-11.6,11.12
2024-01-21,-6.8,19.76
2024-01-22,-4.4,24.08
2024-01-23,0.2,32.36
2024-01-24,1.1,33.98
2024-01-25,2.3,36.14
2024-01-26,2.7,36.86
2024-01-27,2,35.6
2024-01-28,1.8,35.24
2024-01-29,1,33.8
2024-01-30,0.9,33.62
2024-01-31,3.3,37.94
2024-02-01,3.3,37.94
2024-02-02,0.1,32.18
2024-02-03,-0.9,30.38
2024-02-04,-1.3,29.66
2024-02-05,0.2,32.36
2024-02-06,-0.4,31.28
2024-02-07,1,33.8
2024-02-08,3.1,37.58
2024-02-09,8.9,48.02
2024-02-10,6.2,43.16
2024-02-11,1.7,35.06
2024-02-12,1.2,34.16
2024-02-13,-0.2,31.64
2024-02-14,-4.2,24.44
2024-02-15,-2.8,26.96
2024-02-16,-2.8,26.96
2024-02-17,-6.4,20.48
2024-02-18,-3.6,25.52
2024-02-19,-6.7,19.94
2024-02-20,-2.7,27.14
2024-02-21,3.6,38.48
2024-02-22,5.7,42.26
2024-02-23,1.3,34.34
2024-02-24,-8.5,16.7
2024-02-25,-0.6,30.92
2024-02-26,3.8,38.84
2024-02-27,4.9,40.82
2024-02-28,5.4,41.72
2024-02-29,-4.7,23.54
2024-03-01,2.5,36.5
2024-03-02,5.5,41.9
2024-03-03,6.6,43.88
2024-03-04,10.1,50.18
2024-03-05,10.7,51.26
2024-03-06,5.6,42.08
2024-03-07,5.7,42.26
2024-03-08,5.6,42.08
2024-03-09,5.8,42.44
2024-03-10,0.8,33.44
2024-03-11,3.5,38.3
2024-03-12,6.3,43.34
2024-03-13,12.8,55.04
2024-03-14,6.9,44.42
2024-03-15,6.2,43.16
2024-03-16,4.4,39.92
2024-03-17,2.3,36.14
2024-03-18,0.1,32.18
2024-03-19,-0.4,31.28
2024-03-20,-2.2,28.04
2024-03-21,-4.7,23.54
2024-03-22,-5.8,21.56
2024-03-23,-2.9,26.78
2024-03-24,-3.6,25.52
2024-03-25,4.4,39.92
2024-03-26,7.6,45.68
2024-03-27,6.4,43.52
2024-03-28,4.4,39.92
2024-03-29,2.4,36.32
2024-03-30,1.4,34.52
2024-03-31,6,42.8
2024-04-01,6.5,43.7
2024-04-02,6.2,43.16
2024-04-03,3.8,38.84
2024-04-04,1.8,35.24
2024-04-05,3.2,37.76
2024-04-06,8.1,46.58
2024-04-07,8.8,47.84
2024-04-08,8.9,48.02
2024-04-09,11.6,52.88
2024-04-10,13.6,56.48
2024-04-11,11.3,52.34
2024-04-12,8.6,47.48
2024-04-13,7.8,46.04
2024-04-14,11.2,52.16
2024-04-15,10.5,50.9
2024-04-16,11.3,52.34
2024-04-17,6.9,44.42
2024-04-18,10.5,50.9
2024-04-19,10,50
2024-04-20,5.6,42.08
2024-04-21,5.8,42.44
2024-04-22,6.5,43.7
2024-04-23,12.4,54.32
2024-04-24,5.1,41.18
2024-04-25,3.2,37.76
2024-04-26,6.1,42.98
2024-04-27,10.6,51.08
2024-04-28,16.3,61.34
2024-04-29,10.8,51.44
2024-04-30,12.3,54.14
2024-05-01,11.8,53.24
2024-05-02,15.3,59.54
2024-05-03,13.8,56.84
2024-05-04,17,62.6
2024-05-05,14.9,58.82
2024-05-06,14.1,57.38
2024-05-07,13.8,56.84
2024-05-08,14.9,58.82
2024-05-09,12.3,54.14
2024-05-10,13.5,56.3
2024-05-11,12.4,54.32
2024-05-12,14.4,57.92
2024-05-13,17.5,63.5
2024-05-14,15.9,60.62
2024-05-15,15.9,60.62
2024-05-16,15.7,60.26
2024-05-17,16.9,62.42
2024-05-18,17.1,62.78
2024-05-19,18,64.4
2024-05-20,21.4,70.52
2024-05-21,23.4,74.12
2024-05-22,23.8,74.84
2024-05-23,20.2,68.36
2024-05-24,19.7,67.46
2024-05-25,16.1,60.98
2024-05-26,16.9,62.42
2024-05-27,20.3,68.54
2024-05-28,17.2,62.96
2024-05-29,14.6,58.28
2024-05-30,13.4,56.12
2024-05-31,16.3,61.34
2024-06-01,17.6,63.68
2024-06-02,16.3,61.34
2024-06-03,19.6,67.28
2024-06-04,21.1,69.98
2024-06-05,21.7,71.06
2024-06-06,21.1,69.98
2024-06-07,16.6,61.88
2024-06-08,16.8,62.24
2024-06-09,14.8,58.64
2024-06-10,13.8,56.84
2024-06-11,14.6,58.28
2024-06-12,16.5,61.7
2024-06-13,23.5,74.3
2024-06-14,19.4,66.92
2024-06-15,17.7,63.86
2024-06-16,17.2,62.96
2024-06-17,23,73.4
2024-06-18,26.9,80.42
2024-06-19,28.7,83.66
2024-06-20,25.5,77.9
2024-06-21,23.1,73.58
2024-06-22,22.4,72.32
2024-06-23,22.6,72.68
2024-06-24,22.9,73.22
2024-06-25,21.8,71.24
2024-06-26,22.5,72.5
2024-06-27,17.3,63.14
2024-06-28,16.4,61.52
2024-06-29,22.6,72.68
2024-06-30,17.7,63.86
2024-07-01,17.6,63.68
2024-07-02,18.8,65.84
2024-07-03,24.8,76.64
2024-07-04,24.7,76.46
2024-07-05,24.1,75.38
2024-07-06,23.2,73.76
2024-07-07,22.9,73.22
2024-07-08,23.6,74.48
2024-07-09,25,77
2024-07-10,20.7,69.26
2024-07-11,22.9,73.22
2024-07-12,22.7,72.86
2024-07-13,22.6,72.68
2024-07-14,23.8,74.84
2024-07-15,23.9,75.02
2024-07-16,24.1,75.38
2024-07-17,22.4,72.32
2024-07-18,18.5,65.3
2024-07-19,19.1,66.38
2024-07-20,21.3,70.34
2024-07-21,22.7,72.86
2024-07-22,22.1,71.78
2024-07-23,23.5,74.3
2024-07-24,21.6,70.88
2024-07-25,20.3,68.54
2024-07-26,20.5,68.9
2024-07-27,21.5,70.7
2024-07-28,22.9,73.22
2024-07-29,23.7,74.66
2024-07-30,25.9,78.62
2024-07-31,26.7,80.06
2024-08-01,25.4,77.72
2024-08-02,25.8,78.44
2024-08-03,25.1,77.18
2024-08-04,23.8,74.84
2024-08-05,23.2,73.76
2024-08-06,18.3,64.94
2024-08-07,18.9,66.02
2024-08-08,21.5,70.7
2024-08-09,21.7,71.06
2024-08-10,19,66.2
2024-08-11,18.1,64.58
2024-08-12,19.2,66.56
2024-08-13,20.3,68.54
2024-08-14,21.9,71.42
2024-08-15,22.4,72.32
2024-08-16,21.2,70.16
2024-08-17,22.3,72.14
2024-08-18,21.4,70.52
2024-08-19,14.9,58.82
2024-08-20,15.8,60.44
2024-08-21,16.6,61.88
2024-08-22,17.9,64.22
2024-08-23,19.5,67.1
2024-08-24,20.3,68.54
2024-08-25,22.2,71.96
2024-08-26,23,73.4
2024-08-27,26.4,79.52
2024-08-28,21.4,70.52
2024-08-30,21,69.8
2024-08-31,22.1,71.78
2024-09-01,19.9,67.82
2024-09-02,15.3,59.54
2024-09-03,16.3,61.34
2024-09-04,18.2,64.76
2024-09-05,20.1,68.18
2024-09-06,18.8,65.84
2024-09-07,12.1,53.78
2024-09-08,12.9,55.22
2024-09-09,16.6,61.88
2024-09-10,16.4,61.52
2024-09-11,17.4,63.32
2024-09-12,19.1,66.38
2024-09-13,20.4,68.72
2024-09-14,20.2,68.36
2024-09-15,21.7,71.06
2024-09-16,21.7,71.06
2024-09-17,20.5,68.9
2024-09-18,19.9,67.82
2024-09-19,20.5,68.9
2024-09-20,20,68
2024-09-21,21.5,70.7
2024-09-22,19.6,67.28
2024-09-23,19.4,66.92
2024-09-24,17.9,64.22
2024-09-25,20.6,69.08
2024-09-26,19.4,66.92
2024-09-27,17.8,64.04
2024-09-28,20.3,68.54
2024-09-29,20.7,69.26
2024-09-30,19.3,66.74
2024-10-01,16.5,61.7
2024-10-02,14.5,58.1
2024-10-03,16.2,61.16
2024-10-04,15.8,60.44
2024-10-05,12.9,55.22
2024-10-06,17.2,62.96
2024-10-07,13.1,55.58
2024-10-08,9.9,49.82
2024-10-09,8.8,47.84
2024-10-10,9.9,49.82
2024-10-11,13.1,55.58
2024-10-12,12.3,54.14
2024-10-13,9.8,49.64
2024-10-14,7.4,45.32
2024-10-15,6.6,43.88
2024-10-16,6.4,43.52
2024-10-17,7.8,46.04
2024-10-18,10.1,50.18
2024-10-19,11.4,52.52
2024-10-20,13.9,57.02
2024-10-21,19.2,66.56
2024-10-22,17,62.6
2024-10-23,14.4,57.92
2024-10-24,7.6,45.68
2024-10-25,7.6,45.68
2024-10-26,7.1,44.78
2024-10-27,6.1,42.98
2024-10-28,7.1,44.78
2024-10-29,8.9,48.02
2024-10-30,18.6,65.48
2024-10-31,19.2,66.56
2024-11-01,9.7,49.46
2024-11-02,5,41
2024-11-03,5.1,41.18
2024-11-04,13.3,55.94
2024-11-05,19.7,67.46
2024-11-06,16.3,61.34
2024-11-07,10.2,50.36
2024-11-08,8.5,47.3
2024-11-09,4,39.2
2024-11-10,8.6,47.48
2024-11-11,7.7,45.86
2024-11-12,3,37.4
2024-11-13,3.1,37.58
2024-11-14,7.4,45.32
2024-11-15,6.6,43.88
2024-11-16,5.6,42.08
2024-11-17,5.7,42.26
2024-11-18,8.3,46.94
2024-11-19,6.2,43.16
2024-11-20,6.7,44.06
2024-11-21,3.6,38.48
2024-11-22,5.4,41.72
2024-11-23,5.6,42.08
2024-11-24,3.5,38.3
2024-11-25,2.2,35.96
2024-11-26,4.6,40.28
2024-11-27,1.6,34.88
2024-11-28,3.5,38.3
2024-11-29,-0.1,31.82
2024-11-30,-2.3,27.86
2024-12-01,-1.5,29.3
2024-12-02,-1.3,29.66
2024-12-03,-1,30.2
2024-12-04,-0.5,31.1
2024-12-05,-2.8,26.96
2024-12-06,-6.6,20.12
2024-12-07,0.5,32.9
2024-12-08,4.8,40.64
2024-12-09,1.9,35.42
2024-12-10,6.1,42.98
2024-12-11,2,35.6
2024-12-12,-5.3,22.46
2024-12-13,-6.4,20.48
2024-12-14,-5.6,21.92
2024-12-15,0.7,33.26
2024-12-16,6.3,43.34
2024-12-17,5.9,42.62
2024-12-18,1.6,34.88
2024-12-19,-1.7,28.94
2024-12-20,-4.7,23.54
2024-12-21,-11.7,10.94
2024-12-22,-12.8,8.96
2024-12-23,-3.7,25.34
2024-12-24,-0.3,31.46
2024-12-25,-2.1,28.22
2024-12-26,-1.2,29.84
2024-12-27,1.1,33.98
2024-12-28,5.5,41.9
2024-12-29,6.3,43.34
2024-12-30,5.8,42.44
2024-12-31,1.7,35.06